method,base_reward_mean,base_reward_std,candidate_reward_mean,candidate_reward_std,reward_gain_mean,reward_gain_std,reward_gain_pct_mean,reward_gain_pct_std,train_minutes_mean,train_minutes_std,gain_per_train_minute_mean,gain_per_train_minute_std,candidate_std_reward_mean,candidate_std_reward_std,candidate_response_length_mean,candidate_response_length_std,num_seeds
GRPO,0.15246564341618474,0.005718166220132667,0.5476429221944676,0.009351296767489624,0.3951772787782829,0.014481988394341571,259.6485074980649,18.64420789305931,2.199680178695255,0.016220353727586047,0.17962941742601968,0.005427848229047827,0.11686818070796001,0.017120338384766568,66.06388888888888,0.28690558519279097,3
PPO,0.15246564341618474,0.005718166220132667,0.22344449655049375,0.034379987857540234,0.07097885313430903,0.03507754592849882,46.706065729960855,23.722979818225475,0.8760461661550734,0.016269187330929764,0.08088125820461792,0.039254167901235294,0.2651912875969855,0.013968522485716027,60.25277777777778,6.015745158732611,3
DPO,0.15246564341618474,0.005718166220132667,0.178979273886782,0.013105345454517987,0.026513630470597283,0.00766182834606516,17.29325956731445,4.356757490561884,2.321902479065789,0.035634722151882514,0.011387175655123032,0.003107580599513977,0.2873720516119943,0.002913000277944337,56.894444444444446,1.0086202530262882,3
